                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 0.2614,                0.24416,                0.83722,                0.99964,                      1,                  0.995,                0.98958,                 0.2113,                0.18917,                0.78004,               0.000317,               0.000317,               0.000317
                     87,                0.25723,                0.23169,                0.83424,                0.99963,                      1,                  0.995,                0.99149,                0.20591,                0.18299,                0.78003,              0.0002972,              0.0002972,              0.0002972
                     88,                0.26075,                0.24088,                0.81952,                0.99964,                      1,                  0.995,                0.98161,                0.23256,                0.19628,                0.78416,              0.0002774,              0.0002774,              0.0002774
                     89,                0.23827,                0.22416,                0.82578,                0.99964,                      1,                  0.995,                0.97833,                0.23467,                0.19539,                0.78377,              0.0002576,              0.0002576,              0.0002576
                     90,                0.23136,                0.21861,                0.81851,                0.99965,                      1,                  0.995,                0.98479,                0.22047,                0.18686,                 0.7814,              0.0002378,              0.0002378,              0.0002378
                     91,                0.19001,                0.20733,                0.77194,                0.99965,                      1,                  0.995,                0.98804,                0.21073,                0.18513,                0.78011,               0.000218,               0.000218,               0.000218
                     92,                0.19332,                0.19509,                0.75112,                0.99962,                      1,                  0.995,                0.98814,                0.21429,                0.18994,                 0.7807,              0.0001982,              0.0001982,              0.0001982
                     93,                0.18401,                0.19706,                0.76089,                0.99961,                      1,                  0.995,                0.98701,                0.20799,                0.18729,                   0.78,              0.0001784,              0.0001784,              0.0001784
                     94,                0.18156,                0.19044,                0.76399,                 0.9996,                      1,                  0.995,                0.98789,                0.20544,                 0.1841,                0.77942,              0.0001586,              0.0001586,              0.0001586
                     95,                0.17995,                0.19527,                0.75764,                 0.9996,                      1,                  0.995,                0.98742,                 0.2024,                0.18122,                0.77896,              0.0001388,              0.0001388,              0.0001388
                     96,                0.17122,                0.18665,                0.78949,                0.99961,                      1,                  0.995,                0.99044,                 0.2014,                0.18394,                0.77874,               0.000119,               0.000119,               0.000119
                     97,                0.17254,                0.17966,                 0.7678,                0.99962,                      1,                  0.995,                0.99124,                 0.2057,                0.18074,                0.77993,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.17445,                0.18002,                0.77891,                0.99962,                      1,                  0.995,                0.98857,                0.21344,                0.17992,                0.78189,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.17322,                0.18618,                0.77284,                0.99962,                      1,                  0.995,                0.98697,                0.21801,                0.17947,                0.78253,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.16394,                0.16773,                0.75388,                0.99961,                      1,                  0.995,                0.98809,                0.21077,                0.17666,                0.78141,               3.98e-05,               3.98e-05,               3.98e-05
